seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Janie,Patterson,51,Jalo Pass,Bebutapo,NV,66464,$3051.30,WHITE,07/22/2044
2,Louisa,Webb,52,Kelcu Heights,Segsunbo,PA,39573,$4034.57,GREEN,03/01/1978
3,Lina,Rodriquez,59,Kizruh Pass,Zirusda,MA,54138,$990.70,RED,08/29/1929
4,Jerry,Schultz,64,Zusho Key,Soawuva,DC,68081,$908.31,RED,09/16/1976
5,Cecelia,Ramos,54,Belo Avenue,Wijudho,AZ,48966,$1408.40,YELLOW,09/07/1919
6,Anthony,Gardner,59,Noud Turnpike,Umawogur,NY,99874,$860.80,BLUE,06/15/1955
7,Ida,Cummings,36,Wihjif Square,Cevrosba,MT,89639,$9193.95,BLUE,04/26/2028
8,Violet,Morton,61,Gatno Highway,Olsuduw,WI,50977,$6654.97,BLUE,12/29/2027
9,Annie,Wade,54,Kizus River,Taamogaw,LA,96510,$369.65,WHITE,03/31/1913
10,Gerald,Shaw,33,Sefah Path,Kusamas,CT,88802,$7698.06,WHITE,05/28/1926
11,Edna,Benson,36,Tedpi Mill,Kabliado,NM,42032,$4293.98,YELLOW,08/18/2043
12,Timothy,Ortega,36,Fucru Center,Cebotgo,KY,65020,$5585.13,GREEN,04/21/2041
13,Mason,Underwood,50,Fegguj Point,Demezuri,FL,82770,$8708.21,YELLOW,04/19/1925
14,Matthew,Greer,47,Kirezu Heights,Hiklumog,IN,96023,$1929.03,BLUE,11/29/2064
15,Winnie,Ortega,26,Zolra Trail,Bektoju,PA,53662,$6530.45,BLUE,10/27/2048
16,Victor,Farmer,59,Ibofof Extension,Upkuzuk,DC,91963,$7934.63,BLUE,03/17/1932
17,Olga,Gray,54,Mohbi Lane,Fanapaz,MT,72355,$5047.98,BLUE,01/09/2057
18,Robert,Miles,39,Uwpoc Park,Wuifma,AK,28960,$3114.76,YELLOW,03/29/1901
19,Leo,Vega,62,Toniza Highway,Kumoduveh,CT,81027,$6372.41,BLUE,10/29/2000
20,Todd,Clark,23,Pikma Park,Ahunde,FL,56272,$2923.62,YELLOW,02/14/1927
21,Gary,Holt,63,Safda Circle,Itevpez,OR,74478,$3145.82,YELLOW,07/03/2056
22,Alejandro,Nelson,30,Wivu Parkway,Reevra,WV,15296,$8053.27,RED,08/28/1930
23,Olive,Kelley,31,Zedjul Avenue,Zogkamkap,IN,84263,$1878.52,WHITE,03/22/1931
24,Tom,White,42,Onosa Mill,Guhiztof,MA,78746,$4908.69,GREEN,06/30/2068
25,Myra,Pena,29,Tizaze Lane,Suzrefed,CA,36618,$7297.96,YELLOW,11/24/2060
26,Lola,Figueroa,32,Zufi Heights,Kapfora,SC,95498,$4875.83,GREEN,07/31/2002
27,Willie,Ramos,52,Useaca Terrace,Secoej,MS,06699,$9193.78,GREEN,10/03/2049
28,Steve,Franklin,34,Ribwa Court,Ravujzaz,KS,15918,$9351.00,GREEN,09/05/1906
29,Seth,Wolfe,33,Fukoc Street,Georise,VT,43689,$4744.01,RED,10/08/1948
30,Claudia,Terry,35,Ciri Center,Nomtuled,KS,70170,$8753.91,GREEN,12/24/2004
31,Myrtie,Huff,28,Vilaza Center,Jakamej,NJ,96248,$4385.41,WHITE,08/05/2019
32,Hettie,Welch,50,Sebab Plaza,Lelmakhi,AL,99689,$5440.46,WHITE,06/07/1942
33,Luis,Higgins,33,Untek Road,Dadafel,DE,07071,$1981.23,BLUE,12/15/1953
34,Walter,Bush,60,Witpu Highway,Wetjeidi,NH,64846,$7516.98,GREEN,05/19/2039
35,Alberta,Higgins,31,Ahvar Manor,Avsibmov,ND,64901,$5548.62,WHITE,06/24/1990
36,Bess,Davidson,30,Teman Mill,Ficfigep,MT,10855,$6314.29,YELLOW,03/22/2029
37,Shawn,Padilla,23,Carun Path,Hazidkep,ME,78720,$3913.03,GREEN,10/27/2026
38,Devin,Lloyd,48,Fagfum Heights,Umosooh,VT,56704,$3792.76,BLUE,12/06/2066
39,Earl,Dunn,65,Zikmob Pike,Rovwipu,VA,04764,$6815.29,BLUE,11/13/2036
40,Harry,Robinson,37,Ijwom Plaza,Sulurubul,NE,15717,$4157.14,GREEN,03/12/1951
41,Duane,Rios,44,Wicbap River,Kehjazki,MO,46457,$3390.37,YELLOW,06/17/1967
42,Fannie,Waters,46,Guguh Way,Latigpo,CA,68507,$385.40,YELLOW,03/21/2027
43,Scott,Jenkins,51,Macbum Square,Jagfujpil,NM,63135,$7060.28,BLUE,03/14/1943
44,Alejandro,Byrd,43,Zuve Boulevard,Pezluvo,IA,49197,$2038.54,GREEN,11/18/2041
45,Lelia,Frank,45,Johu View,Cacacnoz,ME,83901,$5355.36,WHITE,11/27/2027
46,Mario,Harris,42,Wocsab Trail,Woselera,AK,11592,$4228.46,BLUE,09/07/2015
47,Julian,Vargas,49,Butata Road,Ziwatogat,NV,77457,$1915.92,WHITE,01/26/1985
48,Rhoda,Lewis,51,Ratah View,Mocejem,NY,86767,$9079.39,GREEN,07/26/2010
49,Nettie,Peters,56,Keez Loop,Etiwinwiw,AR,42352,$5853.41,RED,06/24/1933
50,Kate,Figueroa,52,Kibor Lane,Setvuuju,TX,40477,$2505.67,GREEN,09/18/2006
51,Edna,Ramsey,22,Veshon Center,Uvopozab,MS,26307,$183.14,GREEN,01/25/1921
52,Jason,Doyle,50,Hohog Heights,Zardizfo,SC,39935,$8413.21,BLUE,12/22/1983
53,Luella,Vaughn,65,Jiiri Key,Pazubo,CO,65251,$5013.42,RED,06/26/2026
54,Jeffery,Henry,44,Icaoka Lane,Apieluofu,PA,27631,$2930.30,BLUE,04/22/2070
55,Dora,Griffin,55,Wuzveg Avenue,Dosulal,IL,58273,$9608.76,YELLOW,02/23/1940
56,Rosie,Francis,47,Cizlo Place,Fahfufpu,DC,18806,$5621.10,YELLOW,02/18/1938
57,Elsie,Lawson,48,Jotow Terrace,Fuevzic,NH,81020,$4656.84,YELLOW,10/05/1925
58,Mina,Morgan,27,Aseje Park,Jehejed,HI,85663,$781.84,WHITE,11/17/1906
59,Harold,Quinn,50,Nejwe Loop,Abfiuvu,CO,39415,$783.95,RED,03/17/2007
60,Annie,Gill,34,Boro Pass,Dilibgid,NJ,41163,$6718.68,BLUE,11/14/1965
61,Calvin,Bush,26,Putuba Drive,Viriwdo,UT,87700,$7043.00,RED,04/14/2029
62,Brandon,White,33,Efne Mill,Ebedaud,SC,99170,$3054.06,BLUE,07/31/1995
63,Janie,Jenkins,36,Vukmo Pass,Uzrunib,TN,80505,$3762.30,WHITE,05/02/2042
64,Vernon,Russell,45,Ogivu Extension,Pazaja,AR,38920,$7229.18,RED,04/18/2066
65,Glenn,Potter,42,Tifon Path,Ujdutniw,SC,05236,$5400.40,WHITE,10/20/1996
66,Georgia,Vega,33,Bujtuv Heights,Ulmocmav,MD,88196,$3783.54,RED,04/03/1978
67,Marian,Hill,34,Kofe Heights,Daszoace,CT,05347,$8723.16,GREEN,04/11/2061
68,Bess,McDonald,20,Jumren Avenue,Bukvegu,MO,93094,$251.11,WHITE,08/14/2017
69,Jorge,Cross,33,Turva Extension,Sobdozwu,NY,63411,$2506.55,WHITE,03/10/1973
70,Sadie,Clarke,25,Nawhaj Parkway,Iksinhe,SD,03401,$756.15,YELLOW,01/02/1975
71,Sadie,Kennedy,38,Iwatul Park,Sufadka,KS,71854,$2849.08,BLUE,06/11/1989
72,Jose,Stokes,52,Rinuv Avenue,Fiewwa,SC,02731,$2388.65,GREEN,12/20/2059
73,Harriett,Hampton,39,Same Extension,Bicoke,KS,46328,$5085.20,RED,04/15/2048
74,Lucy,Bailey,23,Guskag Street,Ufiizdi,NJ,08385,$3990.32,YELLOW,09/21/1980
75,Josie,Williamson,38,Mirkak Heights,Feceblu,DE,90590,$7302.11,WHITE,01/07/1977
76,Bess,Nunez,25,Cona Ridge,Emwezda,DC,56304,$28.84,YELLOW,12/07/1903
77,Augusta,Pierce,24,Mugu Trail,Odeidmok,RI,26551,$3744.43,BLUE,12/15/2006
78,Dollie,Abbott,51,Ziwda Manor,Kezuvu,IN,04881,$501.46,RED,05/16/1910
79,Jeremy,Dunn,38,Nawla Junction,Mirgijub,WV,05039,$608.66,RED,03/11/1978
80,Shawn,Logan,56,Mapec Boulevard,Vujleoho,ME,21999,$2509.56,YELLOW,06/11/1962
81,Lee,Crawford,50,Gituva Way,Dawuja,MO,21304,$7488.64,YELLOW,03/12/1916
82,Lucy,Ellis,32,Suplo Loop,Zozajcu,IL,49981,$9316.55,GREEN,07/08/1919
83,George,Howell,47,Zedte Glen,Poltaov,RI,96254,$2020.68,BLUE,09/23/1917
84,Cynthia,Johnson,47,Leduf Boulevard,Zusdawja,OH,74299,$8722.03,GREEN,12/09/1960
85,Rosa,Ford,62,Efeno Park,Iktitel,TN,46416,$2656.41,BLUE,10/02/2055
86,Martha,Perez,51,Lafun Ridge,Micevov,WV,79784,$7136.54,RED,08/02/2059
87,Randall,Glover,29,Fewhin River,Tozawowi,AK,53182,$6366.56,RED,10/10/2008
88,Roy,Rowe,54,Kirif Manor,Vedadam,RI,62004,$9020.57,GREEN,09/17/2012
89,Brent,McDonald,52,Culeb Turnpike,Figuldi,WV,44698,$7527.96,BLUE,07/18/1971
90,Jane,Gibson,47,Caar Turnpike,Tejuwom,MO,28587,$4546.23,YELLOW,07/20/1985
91,Corey,Barton,58,Fogjik Pike,Cilvafug,IA,45083,$5557.53,RED,05/02/2063
92,Clara,Collier,54,Ofohu Road,Doredi,WA,19182,$6128.21,YELLOW,06/20/2009
93,Mamie,Phillips,50,Vepo Street,Bitsata,NE,32769,$4283.68,RED,10/16/2064
94,Helen,Powers,35,Toste Mill,Moshodod,VT,34877,$2864.07,YELLOW,07/26/2028
95,Jean,Valdez,30,Cawo Highway,Ucusogab,NY,59944,$6376.51,GREEN,12/19/2036
96,Travis,Wilkins,60,Mefis Parkway,Epserni,LA,02303,$1932.32,RED,06/04/1951
97,Alexander,Palmer,64,Fifo Way,Dolfajtu,SD,62617,$5095.99,WHITE,01/01/1947
98,Lawrence,Perez,55,Ezca Parkway,Iwikaazo,NC,41073,$4975.47,GREEN,10/26/2070
99,Lois,Greer,28,Imurop Loop,Towewag,NM,85821,$7746.81,WHITE,01/01/2068
100,Joseph,Kim,60,Harav Center,Rohosa,AL,76387,$2109.37,GREEN,09/29/1939
